step,mean_cut,std_cut
1,1.920000e+01,8.717798e-01
2,1.920000e+01,8.717798e-01
3,1.905000e+01,8.046738e-01
4,1.900000e+01,8.366600e-01
5,1.900000e+01,8.366600e-01
6,1.895000e+01,9.205976e-01
7,1.890000e+01,8.888194e-01
8,1.865000e+01,9.630680e-01
9,1.860000e+01,9.165151e-01
10,1.845000e+01,1.023474e+00
11,1.830000e+01,1.053565e+00
12,1.830000e+01,1.053565e+00
13,1.825000e+01,1.177922e+00
14,1.820000e+01,1.166190e+00
15,1.820000e+01,1.166190e+00
16,1.820000e+01,1.166190e+00
17,1.815000e+01,1.235921e+00
18,1.810000e+01,1.260952e+00
19,1.795000e+01,1.203121e+00
20,1.780000e+01,1.208305e+00
